Hidden Dims,Entropy,Schedule,Num Epochs,rew_position,rew_orientation,rew_action_smooth,Run Name
"[128, 128, 128]",0.02,adaptive,1,-773.9160672368049,-297.510726995182,-821.3185178410532,Dims128_Ent0.02_Schadaptive_Ep1
"[128, 128, 128]",0.01,adaptive,1,-857.1608302606453,-303.5128937191538,-554.3955653179282,Dims128_Ent0.01_Schadaptive_Ep1
"[128, 128, 128]",0.005,adaptive,1,-892.0581273267765,-303.5343543408648,-449.4535511288785,Dims128_Ent0.005_Schadaptive_Ep1
"[128, 128, 128]",0.002,adaptive,1,-980.5820677079307,-328.712411512526,-416.0142501029402,Dims128_Ent0.002_Schadaptive_Ep1
"[128, 128, 128]",0.001,adaptive,1,-1092.788807760104,-280.32989466108455,-415.40923928968834,Dims128_Ent0.001_Schadaptive_Ep1
