command,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,,,,,,,,
dshot,199,379,559,739,919,1099,1279,1459,1639,1819,,,,,,,,,
voltage,15.52,15.5,15.45,15.38,15.27,15.15,14.99,14.85,14.64,14.48,,,,,,,,,
force,15,73,148,236,335,420,480,612,684,740,,,,,,,,,
