id,mass,arm_length,Ixx,Iyy,Izz,thrust_to_weight,motor_tau_up,motor_tau_down,kappa,wn,zeta,tc_ang_rp,tc_ang_y,tc_rate_rp,tc_rate_y,best_rmse
0,2.9504476647047166,0.2303190055293221,0.02196956127229703,0.02196956127229703,0.04024823625084816,1.696421365342795,0.058884821545522846,0.12171348071585818,0.04609892940305747,3.684096336364746,0.7664510607719421,0.14028234779834747,0.6568462252616882,0.03072042390704155,0.1044839397072792,0.09866893291473389
1,0.7224343235214973,0.13613681678485834,0.006419960795863464,0.006419960795863464,0.011761368178021868,2.0561988694760522,0.06197090757231221,0.10356972387623578,0.02925839071783835,3.3028130531311035,0.7858738303184509,0.155299112200737,0.3351735770702362,0.0372096449136734,0.14091363549232483,0.11993448436260223
2,0.7288500896467199,0.13611026745655755,0.0055745872565815405,0.0055745872565815405,0.010212643854057383,3.7397661574310566,0.05132331188713769,0.20243757277965765,0.03942476830650461,3.2572004795074463,0.6013748049736023,0.15353389084339142,0.3247717022895813,0.06845153868198395,0.16016609966754913,0.18659114837646484
3,3.262402277813194,0.19157662417978544,0.04634524452157308,0.04634524452157308,0.08490448796352187,2.5739629321981727,0.03112268266569523,0.1949334813546273,0.026841810510194648,2.7099857330322266,0.6193305850028992,0.18781356513500214,0.558748722076416,0.07238329946994781,0.39807647466659546,0.2580976188182831
4,0.1275923077251373,0.07404692433638278,0.0007696477646673371,0.0007696477646673371,0.0014099947048705616,4.921074897863599,0.06669558128651787,0.15226312972122186,0.02203948212803184,3.0356361865997314,0.6746548414230347,0.16470566391944885,0.29618027806282043,0.07004790753126144,0.17895105481147766,0.1943090409040451
5,1.3310354547679744,0.1765647896359755,0.014994107332382085,0.014994107332382085,0.02746920463292398,2.1681004436241342,0.0819516006532122,0.2829098588293064,0.014616134781409561,2.7850723266601562,0.6625499725341797,0.18592320382595062,0.6455193758010864,0.05799853429198265,0.2226891815662384,0.24455080926418304
6,4.8009193829388686,0.2388133205279776,0.06354463087589425,0.06354463087589425,0.11641376376463827,4.282211454168016,0.04466163523880254,0.2620803047749025,0.024176768559239944,2.86568546295166,0.647783637046814,0.17550738155841827,0.9785516858100891,0.06279660016298294,0.1854311227798462,0.2592363953590393
7,1.643505006396131,0.22619766532031993,0.038275026958576035,0.038275026958576035,0.0701198493881113,4.387711345532157,0.08078076827522113,0.10500365875444928,0.035710534443275634,2.9083287715911865,0.6675968170166016,0.17485737800598145,0.9511011838912964,0.05817268043756485,0.1331048607826233,0.20376309752464294
8,0.05212356779821885,0.06141701705968622,0.0005641381279942649,0.0005641381279942649,0.0010335010504854932,3.071434657538971,0.08161877472460263,0.1590519332985941,0.035822494640978385,2.1638429164886475,0.7186468839645386,0.23775050044059753,0.2378452718257904,0.07279019057750702,0.22166714072227478,0.2583450675010681
9,0.027906300531738086,0.04857240624044541,0.00011528088274170393,0.00011528088274170393,0.0002111945771828016,3.3439787661853746,0.07927944324636788,0.08705011010359387,0.015483225279566703,4.081572532653809,0.6893682479858398,0.12696844339370728,0.4740087687969208,0.04743174836039543,0.10740302503108978,0.1179976686835289
