id,mass,arm_length,Ixx,Iyy,Izz,thrust_to_weight,motor_tau_up,motor_tau_down,kappa,wn,zeta,tc_ang_rp,tc_ang_y,tc_rate_rp,tc_rate_y,best_rmse
0,3.4990612809086836,0.2389893535724751,0.031321942973030655,0.031321942973030655,0.05738179952659216,3.018830310526533,0.0886849987533087,0.0590762331116393,0.02417943324863178,4.2390007972717285,0.8253471851348877,0.12195929884910583,0.5445071458816528,0.029999999329447746,0.13706910610198975,0.06853245943784714
1,0.2859167206334756,0.09368781494057137,0.0011095288722634635,0.0011095288722634635,0.0020326568939866654,2.8653392660174832,0.04218150361517565,0.11424335763511365,0.028446590599022874,3.730775833129883,0.651371419429779,0.1346103399991989,0.23669524490833282,0.041427385061979294,0.3437501788139343,0.11767100542783737
2,0.2111728489120638,0.09046840136651826,0.0010299906074289586,0.0010299906074289586,0.0018869427928098522,3.917649210513659,0.041988654342671884,0.2608000161456335,0.048326077089902005,3.0309736728668213,0.6789804697036743,0.1660696119070053,0.3423488438129425,0.06988178938627243,0.16802886128425598,0.2077827900648117
3,2.7294806778707397,0.24485726403064564,0.03116953597372711,0.03116953597372711,0.05710258990386807,2.215088892478131,0.07038965151924097,0.27588864612299613,0.04212822021051504,3.0902721881866455,0.6591484546661377,0.16262947022914886,0.7888328433036804,0.05500555410981178,0.15199367702007294,0.19886831939220428
4,0.020800480701583083,0.04174968806779418,6.73292628837144e-05,6.73292628837144e-05,0.00012334720960296478,4.831827238174604,0.04497679419552102,0.24718169074388244,0.0069305059255172895,2.7233850955963135,0.8035798668861389,0.1853807419538498,0.44944584369659424,0.06107674539089203,0.24226722121238708,0.16972707211971283
5,4.520051453180697,0.24442868864747772,0.05491148078278389,0.05491148078278389,0.1005978327940601,3.009735713513881,0.06641137633121484,0.26233603791644855,0.022640820041044528,2.9044039249420166,0.6528448462486267,0.17358188331127167,0.5236470699310303,0.06261035054922104,0.24506758153438568,0.22408178448677063
6,1.3050347453194566,0.1555153646068414,0.0221834695886181,0.0221834695886181,0.04064011628634836,2.3789636249409445,0.06734574849976863,0.10665433734858341,0.046674627566122416,2.8606374263763428,0.742095410823822,0.17636775970458984,0.9218639135360718,0.03886646777391434,0.10000000149011612,0.16438555717468262
7,0.3903743224241745,0.11951419926838201,0.0019296001184875436,0.0019296001184875436,0.00353502741706918,3.4928475342483534,0.08918287442101505,0.2411196990624856,0.04045799332813389,3.4035441875457764,0.6569493412971497,0.1470029503107071,0.5055054426193237,0.05439990758895874,0.10753806680440903,0.1658247709274292
8,0.059685823820239556,0.06748677688904088,0.0003335165126548514,0.0003335165126548514,0.0006110022511836878,3.8357647139996236,0.08383604138828142,0.043978570103086735,0.03691754787774141,3.783383846282959,0.7068520188331604,0.13215835392475128,0.31723302602767944,0.04259641468524933,0.10683251172304153,0.10162004083395004
9,2.3678087044080938,0.1937325600547493,0.0313532425598377,0.0313532425598377,0.05743914036962267,3.540107644150382,0.05638450441132303,0.048109072042234816,0.028701121208086208,4.0015716552734375,0.7047646045684814,0.12779738008975983,0.6297864317893982,0.029999999329447746,0.11763191968202591,0.10183213651180267
10,0.5400803537373484,0.12969525473617607,0.002278175009127401,0.002278175009127401,0.0041736166167213986,2.641646642191584,0.07046706460669823,0.09149078223743987,0.025473163889400834,4.415031433105469,0.6290853023529053,0.11398150771856308,0.35895976424217224,0.030762938782572746,0.36722713708877563,0.08167122304439545
11,1.1360393259752528,0.169154568557281,0.01725178771161863,0.01725178771161863,0.03160527508768533,4.900703407655093,0.057420181292136024,0.12401779086533268,0.0232427496163817,2.9366252422332764,0.6116728782653809,0.17212630808353424,0.6576236486434937,0.06605151295661926,0.21465979516506195,0.222477525472641
12,2.749137337221356,0.2364959373427681,0.03210014031674116,0.03210014031674116,0.05880745706026981,3.982391695317149,0.09497101516566647,0.0915356491417835,0.010808153554101495,3.7083206176757812,0.6113515496253967,0.1364336758852005,0.7659333348274231,0.030681652948260307,0.3697546124458313,0.11989063024520874
13,2.024197267832167,0.2116711648380093,0.0342603489039794,0.0342603489039794,0.06276495919209027,4.925521688215367,0.09754759538698939,0.06136184713517027,0.027427735512856335,3.84875226020813,0.6757249236106873,0.13142460584640503,0.9367436170578003,0.036715831607580185,0.11256790161132812,0.11701752245426178
14,0.08967820787205426,0.07122318145894006,0.00089317913128687,0.00089317913128687,0.001636304168517546,2.829907557854819,0.04087158210625733,0.20379460447511236,0.01904249136977451,2.363492250442505,0.633610725402832,0.21226757764816284,0.446768194437027,0.10264322906732559,0.19440242648124695,0.3194252848625183
15,0.23551942466177347,0.10290453582176934,0.0017208588245937366,0.0017208588245937366,0.0031526133666557256,4.499615886193541,0.07987714285277014,0.21262690686642335,0.03750092894598813,3.139784336090088,0.6241791844367981,0.16269949078559875,0.4366336762905121,0.08075002580881119,0.11186276376247406,0.2142256498336792
16,2.5476311003390526,0.18893506991379272,0.027565070718786666,0.027565070718786666,0.05049920955681717,3.7466211181917344,0.09645498681804779,0.2912694212500918,0.01937984312035026,2.697399616241455,0.6272351145744324,0.1859225332736969,0.6650182604789734,0.0660962387919426,0.1819557249546051,0.2577488124370575
17,0.07893329526775604,0.06366424306426754,0.0005097945934956128,0.0005097945934956128,0.0009339436952839628,3.316352393832604,0.07962445519721931,0.11998595758909357,0.012453479640844109,3.052061080932617,0.6715190410614014,0.1720331758260727,0.2663159966468811,0.050181057304143906,0.19274906814098358,0.17598295211791992
18,1.0802014285883785,0.16979168330090888,0.023145508707566997,0.023145508707566997,0.04240257195226274,4.4736028954885985,0.07249537405400323,0.06993631721051868,0.03042098478648848,3.0352346897125244,0.6324482560157776,0.16617536544799805,0.46761569380760193,0.06331862509250641,0.18145661056041718,0.2023693025112152
19,1.1725906882431418,0.17278513983002872,0.019169896708487493,0.019169896708487493,0.03511925076994909,4.16015416775151,0.09919128786992741,0.2107176867413442,0.03757053681920144,2.5468010902404785,0.6295819878578186,0.1980263590812683,0.4458652138710022,0.07933599501848221,0.2014613002538681,0.2800854444503784
20,0.30377968755473217,0.10404682731546099,0.0015794720549065775,0.0015794720549065775,0.00289359280458885,2.9284433220693833,0.06220146801919706,0.12053421514130638,0.008667547560253381,3.9760825634002686,0.602645993232727,0.1295655071735382,0.9143083095550537,0.03564716503024101,0.12836693227291107,0.12546467781066895
21,0.13202287514096037,0.08838299886229228,0.0010713859475059994,0.0010713859475059994,0.001962779055830991,2.8940280549405535,0.04543992760083357,0.18868401616296615,0.036940248632155406,2.56325626373291,0.6966022849082947,0.19846396148204803,0.43792521953582764,0.08449728786945343,0.14605489373207092,0.24179503321647644
22,2.1428408384867668,0.17147308883421394,0.04113779390660433,0.04113779390660433,0.07536443843689913,1.559817573539982,0.08691551709520388,0.24980332712342512,0.017287897698024787,1.8738970756530762,0.8806024193763733,0.2851905822753906,0.7685089707374573,0.04684698209166527,0.36707019805908203,0.28992533683776855
23,0.21946055683535834,0.08779568885474566,0.0019583182378227265,0.0019583182378227265,0.003587639011691235,4.8493157992790366,0.062478518818686685,0.09748751716292449,0.040865997753183704,3.0275180339813232,0.6745113730430603,0.16691330075263977,0.5597116947174072,0.06439920514822006,0.1676172912120819,0.19973990321159363
24,0.3241087545330267,0.09273342845449224,0.002622179061538843,0.002622179061538843,0.00480383204073916,4.877510627522434,0.07532733424650356,0.19876439926636383,0.011947420115797828,2.682359457015991,0.6000000238418579,0.18774515390396118,0.3313770294189453,0.07577309012413025,0.44705429673194885,0.2640272080898285
25,0.9711257599646886,0.16586668604626065,0.015730928178731375,0.015730928178731375,0.02881906042343588,4.641061606508867,0.03203725165690066,0.032997258794929624,0.01630550810730021,3.188492774963379,0.619537353515625,0.16082671284675598,0.6568458676338196,0.0511794313788414,0.14139875769615173,0.15889082849025726
26,1.1517863614076724,0.15366173058449847,0.005296411048385655,0.005296411048385655,0.00970302504064252,2.5161033679488813,0.08816403151981739,0.054771664205767866,0.010629513839920605,4.099357604980469,0.7080730199813843,0.12276157736778259,0.26602938771247864,0.030632438138127327,0.3613028824329376,0.07648836076259613
27,4.807671013454678,0.24210007654246055,0.08941742900016059,0.08941742900016059,0.1638127299282942,2.102636325899265,0.0912326593319002,0.03838466821040865,0.030448220475913425,3.289013147354126,0.7604591250419617,0.1639636754989624,0.3978354334831238,0.04944585636258125,0.22174914181232452,0.1546645313501358
28,1.1998567307584687,0.15090289596633794,0.01734729357625184,0.01734729357625184,0.031780241831693375,2.892293667255675,0.08892060143754196,0.15067604324959882,0.02097506022649637,2.9122745990753174,0.6064411997795105,0.1749304234981537,0.5973155498504639,0.05514589697122574,0.12703603506088257,0.20892974734306335
29,4.218187657546776,0.2482545484865662,0.035153465290603564,0.035153465290603564,0.06440114841238573,2.086963826240445,0.07666094752056382,0.0844484610649173,0.018537901778517735,3.91038179397583,0.7670786380767822,0.1292736828327179,0.9979865550994873,0.029999999329447746,0.18520386517047882,0.08562012761831284
30,3.663687387193804,0.20896575465572853,0.028821225547437827,0.028821225547437827,0.0528004852029061,1.9890899644654718,0.03987229073725557,0.039443073785459484,0.0074341554132791995,4.23940896987915,0.6551602482795715,0.11805298179388046,0.9431122541427612,0.029999999329447746,0.19024324417114258,0.07879813760519028
31,3.5629242300514217,0.24417799851804642,0.027615008540621776,0.027615008540621776,0.0505906956464191,2.0247998563694125,0.08218067250365621,0.13406849714092178,0.019181645560945457,3.551136016845703,0.7617433667182922,0.1444169282913208,0.27445098757743835,0.029999999329447746,0.2966587543487549,0.09881135076284409
32,0.6466455550061186,0.1490271728186971,0.005240786961234563,0.005240786961234563,0.00960112171298172,4.422258379508214,0.06365896816537371,0.29878308268535037,0.022259395565581125,2.7688608169555664,0.6512388586997986,0.18248528242111206,0.7694051861763,0.06520186364650726,0.13477763533592224,0.26491600275039673
33,0.7164607233971536,0.15525138502253233,0.004852339970990456,0.004852339970990456,0.008889486826854516,2.929184108920418,0.07939526211268082,0.23313280157559432,0.0415165427816512,3.4235892295837402,0.6037723422050476,0.14725126326084137,0.461760014295578,0.05288843810558319,0.1749088168144226,0.16692768037319183
34,0.5111582627589547,0.12580495608908684,0.0018824928942985852,0.0018824928942985852,0.003448726982355008,2.3880826829941233,0.0679066208467512,0.1385284855709576,0.010274317022496818,3.9223015308380127,0.6849059462547302,0.1296364814043045,0.3362869620323181,0.030556369572877884,0.11968950927257538,0.09613047540187836
35,1.0043259920825478,0.15027750933701264,0.004787933782563722,0.004787933782563722,0.008771494689656737,2.147692704221343,0.05961470806454007,0.25357723292685275,0.03206017343997527,3.7611045837402344,0.6065166592597961,0.13485656678676605,0.7614872455596924,0.04463513195514679,0.10331249237060547,0.14348143339157104
36,0.7497710070985792,0.13521494327265232,0.004009065861815895,0.004009065861815895,0.007344608658846719,2.9651560574288447,0.054995176102100904,0.16206125263577803,0.021116173624158616,3.697153329849243,0.6885361671447754,0.13681431114673615,0.426018625497818,0.04965412989258766,0.1353931725025177,0.1340235024690628
37,0.06965309319908428,0.05443628843167361,0.0002274155503227548,0.0002274155503227548,0.0004166252881912868,3.8247340275349497,0.030180230245934397,0.11497012219427676,0.02096517237335035,3.448715925216675,0.7120636701583862,0.14603765308856964,0.4970475733280182,0.05220452696084976,0.12930378317832947,0.127772718667984
38,0.17350459281073713,0.08733219938612098,0.0008027774504845782,0.0008027774504845782,0.0014706882892877473,4.507170555540522,0.06895658660830142,0.19925167762244347,0.007016059460400027,2.896036386489868,0.657781183719635,0.17278482019901276,0.5942690372467041,0.05574150010943413,0.31338194012641907,0.200158953666687
